label, text, speaker, autoLineBreak
IDEA_PRIDE_ItemName, Sinful Pride,  UI,  0
IDEA_PRIDE_ItemExp, The concept of the sin that is pride.,  UI,  0
IDEA_GREED_ItemName, Sinful Greed,  UI,  0
IDEA_GREED_ItemExp, The concept of the sin that is greed.,  UI,  0
IDEA_LUST_ItemName, Sinful Lust,  UI,  0
IDEA_LUST_ItemExp, The concept of the sin that is lust.,  UI,  0
IDEA_SLOTH_ItemName, Sinful Sloth,  UI,  0
IDEA_SLOTH_ItemExp, The concept of the sin that is sloth.,  UI,  0
IDEA_WRATH_ItemName, Sinful Wrath,  UI,  0
IDEA_WRATH_ItemExp, The concept of the sin that is wrath.,  UI,  0
IDEA_GLUTTONY_ItemName, Sinful Gluttony,  UI,  0
IDEA_GLUTTONY_ItemExp, The concept of the sin that is gluttony.,  UI,  0
IDEA_ENVY_ItemName, Sinful Envy,  UI,  0
IDEA_ENVY_ItemExp, The concept of the sin that is envy.,  UI,  0
