label, speaker, text
W14_EVAR_COMM_VISION_KIMODAMESHI_000_TITLE, UI, A Test of Courage
W14_EVAR_COMM_VISION_KIMODAMESHI_000_DETAIL, UI, You see a group of children putting their courage to the test.
W14_EVAR_COMM_VISION_KIMODAMESHI_000_BUTTON, UI, Inspect the Vision
W14_EVAR_COMM_VISION_ALIEN_000_TITLE, UI, Being Tested
W14_EVAR_COMM_VISION_ALIEN_000_DETAIL, UI, You see a man pointing his gun at a civilian.
W14_EVAR_COMM_VISION_ALIEN_000_BUTTON, UI, Inspect the Vision
W14_EVAR_COMM_VISION_CAT_CAPT_000_TITLE, UI, The Cat Catcher
W14_EVAR_COMM_VISION_CAT_CAPT_000_DETAIL, UI, You see a child trying to catch a cat.
W14_EVAR_COMM_VISION_CAT_CAPT_000_BUTTON, UI, Inspect the Vision
W14_EVAR_COMM_VISION_ASSASSIN_000_TITLE, UI, The Assassin
W14_EVAR_COMM_VISION_ASSASSIN_000_DETAIL, UI, You see a man attempting to assassinate someone.
W14_EVAR_COMM_VISION_ASSASSIN_000_BUTTON, UI, Inspect the Vision
W14_EVAR_COMM_VISION_MERCHANT_000_TITLE, UI, The Trader
W14_EVAR_COMM_VISION_MERCHANT_000_DETAIL, UI, You see a peddler carrying bottles of water.
W14_EVAR_COMM_VISION_MERCHANT_000_BUTTON, UI, Inspect the Vision
W14_EVAR_COMM_VISION_WATER_000_TITLE, UI, Seeker of Water
W14_EVAR_COMM_VISION_WATER_000_DETAIL, UI, You see a man pleading for something to drink.
W14_EVAR_COMM_VISION_WATER_000_BUTTON, UI, Inspect the Vision
W14_EVAR_COMM_VISION_MESSENGER_000_TITLE, UI, The Messenger
W14_EVAR_COMM_VISION_MESSENGER_000_DETAIL, UI, You see a man heading to the front lines.
W14_EVAR_COMM_VISION_MESSENGER_000_BUTTON, UI, Inspect the Vision
W14_EVAR_COMM_VISION_MESSENGER2_000_TITLE, UI, The Messenger Returns
W14_EVAR_COMM_VISION_MESSENGER2_000_DETAIL, UI, You see a man on the way to a castle.
W14_EVAR_COMM_VISION_MESSENGER2_000_BUTTON, UI, Inspect the Vision
W14_EVAR_COMM_VISION_DROWN_000_TITLE, UI, A Sinking Man
W14_EVAR_COMM_VISION_DROWN_000_DETAIL, UI, You see a man who was flung into the ocean.
W14_EVAR_COMM_VISION_DROWN_000_BUTTON, UI, Inspect the Vision
W14_EVAR_COMM_VISION_WITCH_000_TITLE, UI, Preparing Medicine
W14_EVAR_COMM_VISION_WITCH_000_DETAIL, UI, You see a woman preparing medicine.
W14_EVAR_COMM_VISION_WITCH_000_BUTTON, UI, Inspect the Vision
W14_EVAR_COMM_VISION_VIPER_000_TITLE, UI, Poisoned
W14_EVAR_COMM_VISION_VIPER_000_DETAIL, UI, You see a woman who was poisoned by a snake.
W14_EVAR_COMM_VISION_VIPER_000_BUTTON, UI, Inspect the Vision
